6/17/17,13:3:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:4:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:5:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:6:9,, ,, ,0.00,0.00,,4.02
6/17/17,13:7:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:8:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:9:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:10:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:11:9,, ,, ,0.00,0.00,,4.02
6/17/17,13:12:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:13:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:14:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:15:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:16:11,8023.9848632812,W,3712.9147949219,N,672.50,0.00,,4.02
6/17/17,13:17:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:18:0,, ,, ,0.00,0.00,,4.00
6/17/17,13:19:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:20:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:21:9,, ,, ,0.00,0.00,,4.02
6/17/17,13:22:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:23:0,, ,, ,0.00,0.00,,4.03
6/17/17,13:24:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:25:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:26:9,, ,, ,0.00,0.00,,4.02
6/17/17,13:27:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:28:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:29:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:30:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:31:32,8023.9814453125,W,3712.9091796875,N,677.20,0.00,,4.02
6/17/17,13:32:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:33:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:34:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:35:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:36:9,, ,, ,0.00,0.00,,4.02
6/17/17,13:37:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:38:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:39:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:40:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:41:9,, ,, ,0.00,0.00,,4.02
6/17/17,13:42:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:43:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:44:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:45:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:46:11,8023.9814453125,W,3712.9091796875,N,677.20,0.00,,4.02
6/17/17,13:47:0,, ,, ,0.00,0.00,,4.03
6/17/17,13:48:0,, ,, ,0.00,0.00,,4.02
